variant,evaluation_mode,bound,bound_value,binding_status,observation_unit,observations,binding_observations,binding_share,extreme_observed,binding_basis
risk_scalar_max1.25_min0.00,as_is,risk_managed_cap,2.0,measured,market-session,307699,63094,0.20505104013987696,1.0,market-sessions where removing the cap would have changed the delivered forecast; a structural test on the weight would overcount cells the final clip makes identical anyway
risk_scalar_max1.25_min0.00,as_is,shock_floor,0.75,measured,market-session,327710,27,8.238991791522992e-05,0.75,"market-sessions resting exactly on the taper floor; the floor also sets the slope of the ramp above it, so this share is a lower bound on the parameter's influence"
risk_scalar_max1.25_min0.10,as_is,max_risk_scalar,1.25,measured,monthly decision,300,19,0.06333333333333334,1.25,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
risk_scalar_max1.25_min0.10,as_is,min_risk_scalar,0.1,measured,monthly decision,300,0,0.0,0.2940910774860579,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
risk_scalar_max1.25_min0.10,as_is,max_gross_notional_multiple,5.0,measured,session,6523,23,0.0035259849762379275,5.136933916899562,sessions on which the engine scaled the decision book down to respect the gross-notional multiple
risk_scalar_max1.25_min0.10,as_is,signal_cap,2.0,measured,market-session,310016,98315,0.31712879335260113,1.0,normalised basis-momentum cells saturated at the cap before the sleeve blend
risk_scalar_max1.25_min0.10,as_is,risk_managed_cap,2.0,measured,market-session,307699,63094,0.20505104013987696,1.0,market-sessions where removing the cap would have changed the delivered forecast; a structural test on the weight would overcount cells the final clip makes identical anyway
risk_scalar_max1.25_min0.10,as_is,shock_floor,0.75,measured,market-session,327710,27,8.238991791522992e-05,0.75,"market-sessions resting exactly on the taper floor; the floor also sets the slope of the ramp above it, so this share is a lower bound on the parameter's influence"
risk_scalar_max1.25_min0.25,as_is,max_risk_scalar,1.25,measured,monthly decision,300,19,0.06333333333333334,1.25,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
risk_scalar_max1.25_min0.25,as_is,min_risk_scalar,0.25,measured,monthly decision,300,0,0.0,0.2940910774860579,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
risk_scalar_max1.25_min0.25,as_is,max_gross_notional_multiple,5.0,measured,session,6523,23,0.0035259849762379275,5.136933916899562,sessions on which the engine scaled the decision book down to respect the gross-notional multiple
risk_scalar_max1.25_min0.25,as_is,signal_cap,2.0,measured,market-session,310016,98315,0.31712879335260113,1.0,normalised basis-momentum cells saturated at the cap before the sleeve blend
risk_scalar_max1.25_min0.25,as_is,risk_managed_cap,2.0,measured,market-session,307699,63094,0.20505104013987696,1.0,market-sessions where removing the cap would have changed the delivered forecast; a structural test on the weight would overcount cells the final clip makes identical anyway
risk_scalar_max1.25_min0.25,as_is,shock_floor,0.75,measured,market-session,327710,27,8.238991791522992e-05,0.75,"market-sessions resting exactly on the taper floor; the floor also sets the slope of the ramp above it, so this share is a lower bound on the parameter's influence"
risk_scalar_max1.50_min0.00,as_is,max_risk_scalar,1.5,measured,monthly decision,300,3,0.01,1.5,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
risk_scalar_max1.50_min0.00,as_is,min_risk_scalar,0.0,measured,monthly decision,300,0,0.0,0.2940910774860579,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
risk_scalar_max1.50_min0.00,as_is,max_gross_notional_multiple,5.0,measured,session,6523,24,0.003679288670856968,5.170599866741807,sessions on which the engine scaled the decision book down to respect the gross-notional multiple
risk_scalar_max1.50_min0.00,as_is,signal_cap,2.0,measured,market-session,310016,98315,0.31712879335260113,1.0,normalised basis-momentum cells saturated at the cap before the sleeve blend
risk_scalar_max1.50_min0.00,as_is,risk_managed_cap,2.0,measured,market-session,307699,63094,0.20505104013987696,1.0,market-sessions where removing the cap would have changed the delivered forecast; a structural test on the weight would overcount cells the final clip makes identical anyway
risk_scalar_max1.50_min0.00,as_is,shock_floor,0.75,measured,market-session,327710,27,8.238991791522992e-05,0.75,"market-sessions resting exactly on the taper floor; the floor also sets the slope of the ramp above it, so this share is a lower bound on the parameter's influence"
risk_scalar_max1.50_min0.10,as_is,max_risk_scalar,1.5,measured,monthly decision,300,3,0.01,1.5,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
risk_scalar_max1.50_min0.10,as_is,min_risk_scalar,0.1,measured,monthly decision,300,0,0.0,0.2940910774860579,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
risk_scalar_max1.50_min0.10,as_is,max_gross_notional_multiple,5.0,measured,session,6523,24,0.003679288670856968,5.170599866741807,sessions on which the engine scaled the decision book down to respect the gross-notional multiple
risk_scalar_max1.50_min0.10,as_is,signal_cap,2.0,measured,market-session,310016,98315,0.31712879335260113,1.0,normalised basis-momentum cells saturated at the cap before the sleeve blend
risk_scalar_max1.50_min0.10,as_is,risk_managed_cap,2.0,measured,market-session,307699,63094,0.20505104013987696,1.0,market-sessions where removing the cap would have changed the delivered forecast; a structural test on the weight would overcount cells the final clip makes identical anyway
risk_scalar_max1.50_min0.10,as_is,shock_floor,0.75,measured,market-session,327710,27,8.238991791522992e-05,0.75,"market-sessions resting exactly on the taper floor; the floor also sets the slope of the ramp above it, so this share is a lower bound on the parameter's influence"
risk_scalar_max1.50_min0.25,as_is,max_risk_scalar,1.5,measured,monthly decision,300,3,0.01,1.5,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
risk_scalar_max1.50_min0.25,as_is,min_risk_scalar,0.25,measured,monthly decision,300,0,0.0,0.2940910774860579,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
risk_scalar_max1.50_min0.25,as_is,max_gross_notional_multiple,5.0,measured,session,6523,24,0.003679288670856968,5.170599866741807,sessions on which the engine scaled the decision book down to respect the gross-notional multiple
risk_scalar_max1.50_min0.25,as_is,signal_cap,2.0,measured,market-session,310016,98315,0.31712879335260113,1.0,normalised basis-momentum cells saturated at the cap before the sleeve blend
risk_scalar_max1.50_min0.25,as_is,risk_managed_cap,2.0,measured,market-session,307699,63094,0.20505104013987696,1.0,market-sessions where removing the cap would have changed the delivered forecast; a structural test on the weight would overcount cells the final clip makes identical anyway
risk_scalar_max1.50_min0.25,as_is,shock_floor,0.75,measured,market-session,327710,27,8.238991791522992e-05,0.75,"market-sessions resting exactly on the taper floor; the floor also sets the slope of the ramp above it, so this share is a lower bound on the parameter's influence"
risk_scalar_max1.75_min0.00,as_is,max_risk_scalar,1.75,measured,monthly decision,300,2,0.006666666666666667,1.75,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
risk_scalar_max1.75_min0.00,as_is,min_risk_scalar,0.0,measured,monthly decision,300,0,0.0,0.2940910774860579,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
risk_scalar_max1.75_min0.00,as_is,max_gross_notional_multiple,5.0,measured,session,6523,24,0.003679288670856968,5.12674994411324,sessions on which the engine scaled the decision book down to respect the gross-notional multiple
risk_scalar_max1.75_min0.00,as_is,signal_cap,2.0,measured,market-session,310016,98315,0.31712879335260113,1.0,normalised basis-momentum cells saturated at the cap before the sleeve blend
risk_scalar_max1.75_min0.00,as_is,risk_managed_cap,2.0,measured,market-session,307699,63094,0.20505104013987696,1.0,market-sessions where removing the cap would have changed the delivered forecast; a structural test on the weight would overcount cells the final clip makes identical anyway
risk_scalar_max1.75_min0.00,as_is,shock_floor,0.75,measured,market-session,327710,27,8.238991791522992e-05,0.75,"market-sessions resting exactly on the taper floor; the floor also sets the slope of the ramp above it, so this share is a lower bound on the parameter's influence"
risk_scalar_max1.75_min0.10,as_is,max_risk_scalar,1.75,measured,monthly decision,300,2,0.006666666666666667,1.75,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
risk_scalar_max1.75_min0.10,as_is,min_risk_scalar,0.1,measured,monthly decision,300,0,0.0,0.2940910774860579,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
risk_scalar_max1.75_min0.10,as_is,max_gross_notional_multiple,5.0,measured,session,6523,24,0.003679288670856968,5.12674994411324,sessions on which the engine scaled the decision book down to respect the gross-notional multiple
risk_scalar_max1.75_min0.10,as_is,signal_cap,2.0,measured,market-session,310016,98315,0.31712879335260113,1.0,normalised basis-momentum cells saturated at the cap before the sleeve blend
risk_scalar_max1.75_min0.10,as_is,risk_managed_cap,2.0,measured,market-session,307699,63094,0.20505104013987696,1.0,market-sessions where removing the cap would have changed the delivered forecast; a structural test on the weight would overcount cells the final clip makes identical anyway
risk_scalar_max1.75_min0.10,as_is,shock_floor,0.75,measured,market-session,327710,27,8.238991791522992e-05,0.75,"market-sessions resting exactly on the taper floor; the floor also sets the slope of the ramp above it, so this share is a lower bound on the parameter's influence"
risk_scalar_max1.75_min0.25,as_is,max_risk_scalar,1.75,measured,monthly decision,300,2,0.006666666666666667,1.75,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
risk_scalar_max1.75_min0.25,as_is,min_risk_scalar,0.25,measured,monthly decision,300,0,0.0,0.2940910774860579,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
risk_scalar_max1.75_min0.25,as_is,max_gross_notional_multiple,5.0,measured,session,6523,24,0.003679288670856968,5.12674994411324,sessions on which the engine scaled the decision book down to respect the gross-notional multiple
risk_scalar_max1.75_min0.25,as_is,signal_cap,2.0,measured,market-session,310016,98315,0.31712879335260113,1.0,normalised basis-momentum cells saturated at the cap before the sleeve blend
risk_scalar_max1.75_min0.25,as_is,risk_managed_cap,2.0,measured,market-session,307699,63094,0.20505104013987696,1.0,market-sessions where removing the cap would have changed the delivered forecast; a structural test on the weight would overcount cells the final clip makes identical anyway
risk_scalar_max1.75_min0.25,as_is,shock_floor,0.75,measured,market-session,327710,27,8.238991791522992e-05,0.75,"market-sessions resting exactly on the taper floor; the floor also sets the slope of the ramp above it, so this share is a lower bound on the parameter's influence"
risk_scalar_max2.00_min0.00,as_is,max_risk_scalar,2.0,measured,monthly decision,300,0,0.0,1.8457955875216576,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
risk_scalar_max2.00_min0.00,as_is,min_risk_scalar,0.0,measured,monthly decision,300,0,0.0,0.2940910774860579,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
risk_scalar_max2.00_min0.00,as_is,max_gross_notional_multiple,5.0,measured,session,6523,24,0.003679288670856968,5.1117169008057015,sessions on which the engine scaled the decision book down to respect the gross-notional multiple
risk_scalar_max2.00_min0.00,as_is,signal_cap,2.0,measured,market-session,310016,98315,0.31712879335260113,1.0,normalised basis-momentum cells saturated at the cap before the sleeve blend
risk_scalar_max2.00_min0.00,as_is,risk_managed_cap,2.0,measured,market-session,307699,63094,0.20505104013987696,1.0,market-sessions where removing the cap would have changed the delivered forecast; a structural test on the weight would overcount cells the final clip makes identical anyway
risk_scalar_max2.00_min0.00,as_is,shock_floor,0.75,measured,market-session,327710,27,8.238991791522992e-05,0.75,"market-sessions resting exactly on the taper floor; the floor also sets the slope of the ramp above it, so this share is a lower bound on the parameter's influence"
risk_scalar_max2.00_min0.10,as_is,max_risk_scalar,2.0,measured,monthly decision,300,0,0.0,1.8457955875216576,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
risk_scalar_max2.00_min0.10,as_is,min_risk_scalar,0.1,measured,monthly decision,300,0,0.0,0.2940910774860579,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
risk_scalar_max2.00_min0.10,as_is,max_gross_notional_multiple,5.0,measured,session,6523,24,0.003679288670856968,5.1117169008057015,sessions on which the engine scaled the decision book down to respect the gross-notional multiple
risk_scalar_max2.00_min0.10,as_is,signal_cap,2.0,measured,market-session,310016,98315,0.31712879335260113,1.0,normalised basis-momentum cells saturated at the cap before the sleeve blend
risk_scalar_max2.00_min0.10,as_is,risk_managed_cap,2.0,measured,market-session,307699,63094,0.20505104013987696,1.0,market-sessions where removing the cap would have changed the delivered forecast; a structural test on the weight would overcount cells the final clip makes identical anyway
risk_scalar_max2.00_min0.10,as_is,shock_floor,0.75,measured,market-session,327710,27,8.238991791522992e-05,0.75,"market-sessions resting exactly on the taper floor; the floor also sets the slope of the ramp above it, so this share is a lower bound on the parameter's influence"
signal_cap_1.00,as_is,max_risk_scalar,2.0,measured,monthly decision,300,0,0.0,1.9823029360482294,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
signal_cap_1.00,as_is,min_risk_scalar,0.25,measured,monthly decision,300,0,0.0,0.3087839998647049,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
signal_cap_1.00,as_is,max_gross_notional_multiple,5.0,measured,session,6523,22,0.003372681281618887,5.149248038451194,sessions on which the engine scaled the decision book down to respect the gross-notional multiple
signal_cap_1.00,as_is,signal_cap,1.0,measured,market-session,310016,194865,0.6285643321635013,1.0,normalised basis-momentum cells saturated at the cap before the sleeve blend
signal_cap_1.00,as_is,risk_managed_cap,2.0,measured,market-session,293124,30757,0.10492828973403748,1.0,market-sessions where removing the cap would have changed the delivered forecast; a structural test on the weight would overcount cells the final clip makes identical anyway
signal_cap_1.00,as_is,shock_floor,0.75,measured,market-session,327710,27,8.238991791522992e-05,0.75,"market-sessions resting exactly on the taper floor; the floor also sets the slope of the ramp above it, so this share is a lower bound on the parameter's influence"
signal_cap_1.50,as_is,max_risk_scalar,2.0,measured,monthly decision,300,0,0.0,1.9497139424654675,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
signal_cap_1.50,as_is,min_risk_scalar,0.25,measured,monthly decision,300,0,0.0,0.3032108995886329,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
signal_cap_1.50,as_is,max_gross_notional_multiple,5.0,measured,session,6523,23,0.0035259849762379275,5.200957675580182,sessions on which the engine scaled the decision book down to respect the gross-notional multiple
signal_cap_1.50,as_is,signal_cap,1.5,measured,market-session,310016,143344,0.4623761354252684,1.0,normalised basis-momentum cells saturated at the cap before the sleeve blend
signal_cap_1.50,as_is,risk_managed_cap,2.0,measured,market-session,302341,47908,0.1584568417779924,1.0,market-sessions where removing the cap would have changed the delivered forecast; a structural test on the weight would overcount cells the final clip makes identical anyway
signal_cap_1.50,as_is,shock_floor,0.75,measured,market-session,327710,27,8.238991791522992e-05,0.75,"market-sessions resting exactly on the taper floor; the floor also sets the slope of the ramp above it, so this share is a lower bound on the parameter's influence"
risk_managed_cap_1.00,as_is,max_risk_scalar,2.0,measured,monthly decision,300,1,0.0033333333333333335,2.0,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
risk_managed_cap_1.00,as_is,min_risk_scalar,0.25,measured,monthly decision,300,0,0.0,0.35920300335414773,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
risk_managed_cap_1.00,as_is,max_gross_notional_multiple,5.0,measured,session,6523,15,0.002299555419285605,5.108994468872004,sessions on which the engine scaled the decision book down to respect the gross-notional multiple
risk_managed_cap_1.00,as_is,signal_cap,2.0,measured,market-session,310016,98315,0.31712879335260113,1.0,normalised basis-momentum cells saturated at the cap before the sleeve blend
risk_managed_cap_1.00,as_is,risk_managed_cap,1.0,measured,market-session,307699,193551,0.6290270686612566,1.0,market-sessions where removing the cap would have changed the delivered forecast; a structural test on the weight would overcount cells the final clip makes identical anyway
risk_managed_cap_1.00,as_is,shock_floor,0.75,measured,market-session,327710,27,8.238991791522992e-05,0.75,"market-sessions resting exactly on the taper floor; the floor also sets the slope of the ramp above it, so this share is a lower bound on the parameter's influence"
risk_managed_cap_1.50,as_is,max_risk_scalar,2.0,measured,monthly decision,300,0,0.0,1.9479337675976043,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
risk_managed_cap_1.50,as_is,min_risk_scalar,0.25,measured,monthly decision,300,0,0.0,0.3071762996042434,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
risk_managed_cap_1.50,as_is,max_gross_notional_multiple,5.0,measured,session,6523,21,0.0032193775869998466,5.2015701871109865,sessions on which the engine scaled the decision book down to respect the gross-notional multiple
risk_managed_cap_1.50,as_is,signal_cap,2.0,measured,market-session,310016,98315,0.31712879335260113,1.0,normalised basis-momentum cells saturated at the cap before the sleeve blend
risk_managed_cap_1.50,as_is,risk_managed_cap,1.5,measured,market-session,307699,108649,0.35310157004085163,1.0,market-sessions where removing the cap would have changed the delivered forecast; a structural test on the weight would overcount cells the final clip makes identical anyway
risk_managed_cap_1.50,as_is,shock_floor,0.75,measured,market-session,327710,27,8.238991791522992e-05,0.75,"market-sessions resting exactly on the taper floor; the floor also sets the slope of the ramp above it, so this share is a lower bound on the parameter's influence"
shock_floor_0.25,as_is,max_risk_scalar,2.0,measured,monthly decision,300,0,0.0,1.8437473111438007,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
shock_floor_0.25,as_is,min_risk_scalar,0.25,measured,monthly decision,300,0,0.0,0.29406752167467676,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
shock_floor_0.25,as_is,max_gross_notional_multiple,5.0,measured,session,6523,24,0.003679288670856968,5.206420638029952,sessions on which the engine scaled the decision book down to respect the gross-notional multiple
shock_floor_0.25,as_is,signal_cap,2.0,measured,market-session,310016,98315,0.31712879335260113,1.0,normalised basis-momentum cells saturated at the cap before the sleeve blend
shock_floor_0.25,as_is,risk_managed_cap,2.0,measured,market-session,307699,63429,0.2061397664600795,1.0,market-sessions where removing the cap would have changed the delivered forecast; a structural test on the weight would overcount cells the final clip makes identical anyway
shock_floor_0.25,as_is,shock_floor,0.25,measured,market-session,327710,27,8.238991791522992e-05,0.25,"market-sessions resting exactly on the taper floor; the floor also sets the slope of the ramp above it, so this share is a lower bound on the parameter's influence"
shock_floor_0.50,as_is,max_risk_scalar,2.0,measured,monthly decision,300,0,0.0,1.8437918300088103,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
shock_floor_0.50,as_is,min_risk_scalar,0.25,measured,monthly decision,300,0,0.0,0.29407855144286627,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
shock_floor_0.50,as_is,max_gross_notional_multiple,5.0,measured,session,6523,24,0.003679288670856968,5.148062768003177,sessions on which the engine scaled the decision book down to respect the gross-notional multiple
shock_floor_0.50,as_is,signal_cap,2.0,measured,market-session,310016,98315,0.31712879335260113,1.0,normalised basis-momentum cells saturated at the cap before the sleeve blend
shock_floor_0.50,as_is,risk_managed_cap,2.0,measured,market-session,307699,63281,0.20565877692160195,1.0,market-sessions where removing the cap would have changed the delivered forecast; a structural test on the weight would overcount cells the final clip makes identical anyway
shock_floor_0.50,as_is,shock_floor,0.5,measured,market-session,327710,27,8.238991791522992e-05,0.5,"market-sessions resting exactly on the taper floor; the floor also sets the slope of the ramp above it, so this share is a lower bound on the parameter's influence"
max_gross_notional_multiple_3.00,as_is,max_risk_scalar,2.0,measured,monthly decision,300,5,0.016666666666666666,2.0,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
max_gross_notional_multiple_3.00,as_is,min_risk_scalar,0.25,measured,monthly decision,300,0,0.0,0.3522216537284581,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
max_gross_notional_multiple_3.00,as_is,max_gross_notional_multiple,3.0,measured,session,6523,134,0.020542695078951404,3.2034068257350388,sessions on which the engine scaled the decision book down to respect the gross-notional multiple
max_gross_notional_multiple_3.00,as_is,signal_cap,2.0,measured,market-session,310016,98315,0.31712879335260113,1.0,normalised basis-momentum cells saturated at the cap before the sleeve blend
max_gross_notional_multiple_3.00,as_is,risk_managed_cap,2.0,measured,market-session,307699,63094,0.20505104013987696,1.0,market-sessions where removing the cap would have changed the delivered forecast; a structural test on the weight would overcount cells the final clip makes identical anyway
max_gross_notional_multiple_3.00,as_is,shock_floor,0.75,measured,market-session,327710,27,8.238991791522992e-05,0.75,"market-sessions resting exactly on the taper floor; the floor also sets the slope of the ramp above it, so this share is a lower bound on the parameter's influence"
max_gross_notional_multiple_4.00,as_is,max_risk_scalar,2.0,measured,monthly decision,300,2,0.006666666666666667,2.0,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
max_gross_notional_multiple_4.00,as_is,min_risk_scalar,0.25,measured,monthly decision,300,0,0.0,0.2940911512189131,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
max_gross_notional_multiple_4.00,as_is,max_gross_notional_multiple,4.0,measured,session,6523,51,0.007818488425571056,4.261800586428893,sessions on which the engine scaled the decision book down to respect the gross-notional multiple
max_gross_notional_multiple_4.00,as_is,signal_cap,2.0,measured,market-session,310016,98315,0.31712879335260113,1.0,normalised basis-momentum cells saturated at the cap before the sleeve blend
max_gross_notional_multiple_4.00,as_is,risk_managed_cap,2.0,measured,market-session,307699,63094,0.20505104013987696,1.0,market-sessions where removing the cap would have changed the delivered forecast; a structural test on the weight would overcount cells the final clip makes identical anyway
max_gross_notional_multiple_4.00,as_is,shock_floor,0.75,measured,market-session,327710,27,8.238991791522992e-05,0.75,"market-sessions resting exactly on the taper floor; the floor also sets the slope of the ramp above it, so this share is a lower bound on the parameter's influence"
baseline_match_control_minus1.00tol,risk_match_control,max_risk_scalar,2.0,measured,monthly decision,300,0,0.0,1.8436598702348515,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
baseline_match_control_minus1.00tol,risk_match_control,min_risk_scalar,0.25,measured,monthly decision,300,0,0.0,0.2941289334158346,"applied EWMA volatility-target multiplier exactly equal to the clip, read at each completed monthly decision"
baseline_match_control_minus1.00tol,risk_match_control,max_gross_notional_multiple,5.0,measured,session,6523,23,0.0035259849762379275,5.192961116990446,sessions on which the engine scaled the decision book down to respect the gross-notional multiple
baseline_match_control_minus1.00tol,risk_match_control,signal_cap,2.0,measured,market-session,310016,98315,0.31712879335260113,1.0,normalised basis-momentum cells saturated at the cap before the sleeve blend
baseline_match_control_minus1.00tol,risk_match_control,risk_managed_cap,2.0,measured,market-session,307699,63094,0.20505104013987696,1.0,market-sessions where removing the cap would have changed the delivered forecast; a structural test on the weight would overcount cells the final clip makes identical anyway
